순번,번호1,번호2,번호3,번호4,번호5,번호6,점수,합계,전략,연속번호
118,17,18,23,26,35,36,247,155,전략4,O
119,7,15,23,24,36,43,246,148,전략4,O
120,2,3,11,22,24,35,246,97,전략4,O
121,1,6,18,23,24,26,246,98,전략5,O
122,4,19,23,28,29,33,245,136,전략4,O
123,5,22,24,29,30,32,245,142,전략4,O
124,1,23,24,28,31,36,245,143,전략4,O
125,3,18,20,22,23,36,244,122,전략4,O
126,2,10,22,35,42,43,244,154,전략4,O
127,10,11,22,24,32,37,244,136,전략4,O
128,1,10,23,24,30,37,244,125,전략4,O
129,7,19,23,24,30,33,243,136,전략4,O
130,1,19,28,29,35,42,243,154,전략4,O
131,13,19,20,23,24,37,242,136,전략4,O
132,5,10,20,22,41,42,242,140,전략4,O
133,1,2,10,29,40,43,242,125,전략4,O
134,1,2,24,26,36,41,241,130,전략4,O
135,6,19,23,32,33,42,240,155,전략4,O
136,2,6,23,29,30,43,240,133,전략4,O
137,8,19,20,22,32,35,239,136,전략4,O
138,5,16,17,26,29,36,239,129,전략4,O
139,1,11,28,32,35,36,239,143,전략4,O
140,5,6,23,24,28,38,239,124,전략4,O
141,1,6,10,11,31,36,238,95,전략1,O
142,7,11,19,20,36,37,238,130,전략4,O
143,1,5,20,36,40,41,238,143,전략4,O
144,2,11,20,24,42,43,238,142,전략4,O
145,1,11,20,29,41,42,237,144,전략4,O
146,7,19,22,27,35,36,237,146,전략4,O
147,13,14,19,22,24,35,237,127,전략4,O
148,5,6,13,24,40,43,237,131,전략4,O
149,5,6,11,20,24,31,236,97,전략1,O
150,3,23,32,33,36,43,236,170,전략4,O
151,1,2,10,23,33,42,236,111,전략4,O
152,8,11,20,26,28,29,236,122,전략4,O
153,5,18,19,24,29,38,236,133,전략4,O
154,2,11,31,35,36,43,236,158,전략4,O
155,6,16,17,23,36,43,236,141,전략4,O
156,1,5,6,13,35,42,236,102,전략4,O
157,1,20,22,31,36,37,235,147,전략4,O
158,10,13,19,20,40,43,235,145,전략4,O
159,5,11,29,30,31,36,235,142,전략4,O
160,17,18,19,29,36,43,235,162,전략4,O
161,10,18,19,24,35,43,234,149,전략1,O
162,5,6,10,22,24,39,234,106,전략1,O
163,1,20,23,30,31,35,234,140,전략4,O
164,8,19,26,29,36,37,234,155,전략4,O
165,4,17,23,24,35,43,234,146,전략4,O
166,1,22,24,35,41,42,234,165,전략4,O
167,5,16,19,33,36,37,233,146,전략4,O
168,7,20,23,24,26,40,233,140,전략4,O
169,11,13,14,23,29,36,233,126,전략4,O
170,6,7,19,36,38,43,233,149,전략4,O
171,5,10,22,31,32,36,233,136,전략4,O
172,1,5,27,28,33,36,232,130,전략4,O
173,10,18,19,22,33,40,232,142,전략4,O
174,7,8,20,23,35,43,232,136,전략4,O
175,10,11,18,26,29,40,232,134,전략4,O
176,5,8,10,28,29,43,232,123,전략4,O
177,8,11,15,23,35,36,232,128,전략4,O
178,6,15,19,23,24,39,232,126,전략4,O
179,10,11,17,24,40,43,232,145,전략4,O
180,10,19,20,26,35,37,231,147,전략1,O
181,2,5,6,18,33,43,231,107,전략4,O
182,1,2,6,22,29,42,231,102,전략4,O
183,3,4,22,26,35,36,231,126,전략4,O
184,1,6,16,26,36,37,231,122,전략4,O
185,11,20,26,31,32,36,230,156,전략4,O
186,14,15,19,24,29,43,230,144,전략4,O
187,10,17,22,23,30,36,230,138,전략4,O
188,1,5,6,10,33,41,229,96,전략1,O
189,5,6,26,28,33,42,229,140,전략4,O
190,1,2,5,24,29,39,229,100,전략4,O
191,7,22,24,26,27,29,229,135,전략4,O
192,1,10,14,24,42,43,229,134,전략4,O
193,6,11,19,20,26,42,229,124,전략5,O
194,1,13,14,33,36,43,228,140,전략4,O
195,6,17,18,20,26,43,228,130,전략4,O
196,1,13,16,19,35,36,228,120,전략4,O
197,5,6,11,28,36,39,228,125,전략4,O
198,6,7,11,22,36,40,228,122,전략4,O
199,1,10,17,36,37,43,228,144,전략4,O
200,1,19,24,31,32,35,228,142,전략4,O
201,5,10,11,33,37,40,227,136,전략4,O
202,1,19,20,24,28,38,227,130,전략4,O
203,11,14,15,22,24,36,227,122,전략4,O
204,6,11,20,22,29,30,226,118,전략1,O
205,10,22,26,29,30,35,226,152,전략1,O
206,1,18,20,26,27,33,226,125,전략4,O
207,17,18,22,33,35,43,226,168,전략4,O
208,8,13,23,24,33,43,226,144,전략4,O
209,6,8,26,32,33,43,226,148,전략4,O
210,8,10,19,20,23,41,226,121,전략4,O
211,15,16,22,24,26,35,226,138,전략4,O
212,8,11,19,29,32,33,225,132,전략4,O
213,1,16,17,22,33,36,225,125,전략4,O
214,1,22,24,30,31,33,225,141,전략4,O
215,1,6,11,18,32,33,225,101,전략4,O
216,3,19,20,24,32,43,225,141,전략4,O
217,5,18,29,30,35,43,225,160,전략4,O
218,5,10,26,36,39,40,225,156,전략4,O
219,5,10,11,17,35,42,225,120,전략4,O
220,8,10,11,22,35,38,225,124,전략4,O
221,5,6,8,22,35,37,224,113,전략4,O
222,1,16,18,19,20,29,223,103,전략4,O
223,3,4,11,24,26,29,223,97,전략4,O
224,11,24,29,31,32,43,223,170,전략4,O
225,1,11,29,30,33,40,222,144,전략4,O
226,2,3,19,24,26,33,222,107,전략4,O
227,1,3,8,35,36,43,222,126,전략4,O
228,2,10,11,22,36,39,222,120,전략4,O
229,6,10,23,26,41,42,222,148,전략4,O
230,1,14,15,26,33,35,221,124,전략4,O
231,15,19,20,22,36,40,221,152,전략4,O
232,5,15,16,20,24,43,221,123,전략4,O
233,10,20,22,23,27,32,221,134,전략4,O
234,10,19,26,28,29,32,221,144,전략4,O
235,6,11,19,24,40,41,221,141,전략4,O
236,19,20,26,31,33,40,220,169,전략4,O
237,3,4,22,29,33,43,220,134,전략4,O
238,5,11,15,32,33,36,220,132,전략4,O
239,7,8,11,33,36,43,220,138,전략4,O
240,6,23,27,28,33,43,220,160,전략4,O
241,5,13,14,20,29,43,220,124,전략4,O
242,4,5,20,26,35,40,220,130,전략4,O
243,6,8,19,20,28,43,220,124,전략4,O
244,5,7,11,35,36,38,220,132,전략4,O
245,3,5,10,36,42,43,220,139,전략4,O
246,2,10,11,19,24,30,220,96,전략4,O
247,1,10,11,18,20,37,219,97,전략4,O
248,13,22,26,28,29,36,219,154,전략4,O
249,2,19,24,36,37,43,219,161,전략4,O
250,6,11,23,31,32,35,219,138,전략4,O
251,14,19,20,26,29,41,218,149,전략4,O
252,1,11,20,24,39,40,218,135,전략4,O
253,11,17,22,29,36,37,218,152,전략4,O
254,4,11,19,35,36,41,218,146,전략4,O
255,6,22,30,31,36,43,218,168,전략4,O
256,3,11,26,32,33,35,217,140,전략4,O
257,6,11,13,36,42,43,217,151,전략4,O
258,1,6,22,36,38,39,217,142,전략4,O
259,1,2,11,20,28,33,216,95,전략4,O
260,7,20,22,36,42,43,216,170,전략4,O
261,8,10,11,23,29,39,216,120,전략4,O
262,1,4,5,24,28,35,216,97,전략4,O
263,4,20,24,26,27,43,215,144,전략4,O
264,1,14,18,19,24,33,214,109,전략4,O
265,5,10,17,18,22,29,214,101,전략4,O
266,14,15,20,23,33,43,213,148,전략4,O
267,6,7,11,26,33,37,213,120,전략4,O
268,10,13,26,33,42,43,213,167,전략4,O
269,1,6,7,20,23,41,213,98,전략4,O
270,1,8,19,20,33,39,212,120,전략4,O
271,16,17,20,23,26,33,212,135,전략4,O
272,5,11,28,29,33,38,212,144,전략4,O
273,5,11,13,14,24,33,212,100,전략4,O
274,1,11,15,16,20,36,212,99,전략4,O
275,1,5,14,15,29,36,212,100,전략4,O
276,2,5,22,33,35,40,268,137,전략4,X
277,2,11,26,29,35,42,253,145,전략4,X
278,1,5,16,20,33,35,251,110,전략1,X
279,1,18,23,29,35,38,246,144,전략4,X
280,1,10,20,32,35,43,242,141,전략1,X
281,2,22,27,33,36,43,242,163,전략4,X
282,8,23,27,29,36,43,242,166,전략4,X
283,10,15,19,23,35,42,240,144,전략4,X
284,1,10,20,22,33,38,239,124,전략1,X
285,1,17,19,24,29,40,239,130,전략4,X
286,2,11,23,30,33,35,238,134,전략4,X
287,3,19,22,33,35,42,237,154,전략4,X
288,1,6,18,31,35,43,237,134,전략4,X
289,10,18,23,26,28,33,236,138,전략4,X
290,5,14,24,26,29,42,236,140,전략4,X
291,10,13,22,24,38,43,236,150,전략4,X
292,2,10,22,26,33,37,235,130,전략4,X
293,6,8,20,23,26,37,234,120,전략4,X
294,7,20,26,29,33,43,232,158,전략1,X
295,16,19,26,29,33,35,231,158,전략1,X
296,2,5,13,20,22,36,231,98,전략4,X
297,6,11,19,27,32,36,231,131,전략4,X
298,6,8,22,29,38,43,230,146,전략4,X
299,11,13,16,24,35,43,230,142,전략4,X
300,2,6,24,26,31,43,230,132,전략4,X
301,1,10,19,30,33,35,229,128,전략1,X
302,2,11,14,29,33,43,229,132,전략4,X
303,3,5,18,26,29,33,229,114,전략4,X
304,11,18,22,24,33,38,229,146,전략4,X
305,11,16,18,20,26,35,229,126,전략4,X
306,8,10,20,22,37,43,229,140,전략4,X
307,3,6,23,35,40,43,229,150,전략4,X
308,1,6,11,24,38,43,229,123,전략5,X
309,11,20,23,31,33,42,228,160,전략4,X
310,4,23,26,33,35,42,228,163,전략4,X
311,1,6,19,30,36,41,228,133,전략4,X
312,5,11,24,32,35,39,228,146,전략4,X
313,1,7,24,26,35,37,228,130,전략4,X
314,6,19,22,24,31,42,228,144,전략4,X
315,1,6,8,22,28,33,227,98,전략4,X
316,3,20,22,26,29,42,227,142,전략4,X
317,7,11,20,22,24,41,227,125,전략4,X
318,5,10,18,20,31,43,227,127,전략4,X
319,1,8,11,29,36,38,227,123,전략4,X
320,1,10,18,23,36,41,227,129,전략4,X
321,5,10,15,35,40,43,227,148,전략4,X
322,5,11,18,20,29,39,226,122,전략4,X
323,8,13,20,26,36,43,226,146,전략4,X
324,3,11,24,27,36,43,226,144,전략4,X
325,1,8,11,33,35,42,225,130,전략4,X
326,6,11,16,20,40,43,225,136,전략4,X
327,14,19,22,27,29,33,224,144,전략4,X
328,6,13,23,26,31,33,224,132,전략4,X
329,10,13,19,26,36,41,224,145,전략4,X
330,8,24,26,29,35,43,223,165,전략1,X
331,5,16,29,33,40,43,223,166,전략4,X
332,5,15,24,26,33,40,223,143,전략4,X
333,3,11,20,23,29,38,223,124,전략4,X
334,4,13,20,22,35,43,223,137,전략4,X
335,1,7,22,29,36,41,223,136,전략4,X
336,1,10,26,31,35,42,223,145,전략4,X
337,5,17,30,33,36,43,222,164,전략4,X
338,1,5,10,29,32,42,222,119,전략4,X
339,2,6,19,23,35,37,222,122,전략4,X
340,1,10,13,24,26,40,221,114,전략4,X
341,4,11,19,24,33,42,220,133,전략4,X
342,14,17,20,22,24,43,220,140,전략4,X
343,1,6,11,30,35,37,220,120,전략4,X
344,3,10,24,26,28,43,220,134,전략4,X
345,18,20,22,29,32,43,219,164,전략4,X
346,11,13,22,24,29,40,219,139,전략4,X
347,3,15,20,23,26,35,218,122,전략4,X
348,2,10,20,26,41,43,218,142,전략4,X
349,4,6,26,29,40,43,218,148,전략4,X
350,3,5,24,35,38,43,218,148,전략4,X
351,5,10,13,16,22,35,218,101,전략4,X
352,5,8,20,33,38,43,217,147,전략4,X
353,5,11,17,20,27,36,217,116,전략4,X
354,10,14,17,23,29,43,217,136,전략4,X
355,6,17,22,26,36,41,217,148,전략4,X
356,4,19,24,26,35,38,217,146,전략4,X
357,5,15,20,22,35,39,216,136,전략4,X
358,6,11,18,29,41,43,216,148,전략4,X
359,1,7,19,24,36,39,216,126,전략4,X
360,8,10,19,30,36,43,216,146,전략4,X
361,6,13,22,24,26,37,216,128,전략4,X
362,1,8,18,29,33,43,215,132,전략4,X
363,6,14,19,33,40,43,215,155,전략4,X
364,5,8,11,20,35,41,215,120,전략4,X
365,1,6,20,26,28,31,215,112,전략4,X
366,1,5,10,30,36,38,215,120,전략4,X
367,10,19,24,26,39,42,215,160,전략4,X
368,1,6,8,23,29,32,213,99,전략4,X
369,3,11,18,20,33,43,212,128,전략4,X
370,17,22,24,26,33,42,212,164,전략4,X
371,1,4,14,29,35,43,212,126,전략4,X
372,2,10,19,31,33,43,210,138,전략4,X
373,1,5,20,29,31,38,210,124,전략4,X
374,1,5,14,20,24,37,210,101,전략4,X
375,1,18,22,24,29,37,210,131,전략4,X
376,6,13,19,32,35,43,210,148,전략4,X
377,1,6,8,26,35,38,210,114,전략4,X
378,5,8,10,22,27,33,209,105,전략4,X
379,6,10,15,19,26,40,209,116,전략4,X
380,6,11,13,22,35,41,208,128,전략4,X
381,1,6,19,24,27,37,208,114,전략4,X
382,7,10,23,33,40,43,207,156,전략4,X
383,1,13,16,20,22,24,207,96,전략4,X
384,6,11,13,20,23,27,207,100,전략4,X
385,14,16,22,29,36,43,207,160,전략4,X
386,5,11,16,24,29,37,207,122,전략4,X
387,6,10,13,19,23,30,207,101,전략4,X
388,1,6,15,17,22,35,206,96,전략4,X
389,1,4,20,22,29,39,204,115,전략4,X
390,16,20,22,31,33,43,203,165,전략4,X
391,11,15,24,30,33,43,203,156,전략4,X
392,16,18,24,26,33,43,203,160,전략4,X
393,1,4,6,19,29,38,203,97,전략4,X
394,1,5,8,10,35,39,203,98,전략4,X
395,3,6,10,18,22,43,203,102,전략4,X
396,1,6,16,19,31,33,202,106,전략4,X
397,5,15,26,29,32,35,202,142,전략4,X
398,1,10,26,29,37,41,202,144,전략4,X
399,10,22,24,26,31,41,202,154,전략4,X
400,1,10,17,22,24,27,202,101,전략4,X
401,2,5,20,26,30,33,201,116,전략4,X
402,10,20,23,26,31,38,201,148,전략4,X
403,1,8,10,22,29,31,201,101,전략4,X
404,8,10,16,23,26,35,201,118,전략4,X
405,11,14,19,29,35,38,200,146,전략4,X
406,1,11,14,17,20,35,199,98,전략4,X
407,1,10,16,19,24,41,199,111,전략4,X
408,1,3,5,24,33,42,198,108,전략4,X
409,17,19,24,28,33,43,195,164,전략4,X
410,4,6,11,22,31,33,195,107,전략4,X
411,1,6,10,16,23,39,194,95,전략4,X
412,11,19,28,33,35,40,193,166,전략4,X
413,10,14,22,33,41,43,193,163,전략4,X
414,1,3,6,22,24,40,193,96,전략4,X
415,6,8,11,16,19,35,192,95,전략4,X
416,4,6,16,19,24,43,191,112,전략4,X
417,1,4,10,28,33,43,190,119,전략4,X
418,11,20,28,30,35,43,190,167,전략4,X
419,15,22,26,29,33,39,189,164,전략4,X
420,6,15,26,35,37,43,189,162,전략4,X
421,2,6,11,19,29,31,188,98,전략4,X
422,6,11,14,26,29,32,188,118,전략4,X
423,1,10,14,19,29,39,188,112,전략4,X
424,10,16,26,29,38,43,188,162,전략4,X
425,4,10,17,19,22,35,188,107,전략4,X
426,1,10,14,23,27,35,188,110,전략4,X
427,7,10,13,20,22,26,187,98,전략4,X
428,3,6,11,19,30,33,186,102,전략4,X
429,5,10,13,19,28,33,186,108,전략4,X
430,5,10,14,16,26,33,186,104,전략4,X
431,1,15,17,20,24,26,186,103,전략4,X
432,4,11,16,23,29,35,186,118,전략4,X
433,20,22,26,28,33,41,184,170,전략4,X
434,3,6,17,19,26,35,184,106,전략4,X
435,4,8,10,19,26,33,181,100,전략4,X
436,14,20,26,31,35,43,181,169,전략4,X
437,6,11,17,22,24,28,181,108,전략4,X
438,10,22,27,29,39,43,180,170,전략4,X
439,6,16,22,35,39,43,180,161,전략4,X
440,1,3,6,26,29,39,177,104,전략4,X
441,1,6,10,15,30,43,176,105,전략4,X
442,10,17,26,35,39,43,162,170,전략4,X
443,1,6,23,24,33,35,342,122,전략2,O
444,6,19,23,29,33,36,341,146,전략2,X
445,5,6,23,33,35,36,338,138,전략2,O
446,5,20,23,29,33,36,338,146,전략2,X
447,1,6,20,23,35,36,333,121,전략2,O
448,6,20,23,26,33,36,330,144,전략2,X
449,5,10,23,24,29,35,329,126,전략2,O
450,1,20,23,24,29,33,328,130,전략2,O
451,10,19,23,24,29,36,328,141,전략2,O
452,1,6,22,33,35,36,327,133,전략2,O
453,19,20,23,29,35,36,327,162,전략2,O
454,2,22,23,24,33,35,326,139,전략1,O
455,6,20,22,23,33,35,326,139,전략2,O
456,5,6,23,24,29,36,326,123,전략2,O
457,6,19,20,23,24,29,325,121,전략2,O
458,6,22,23,24,29,33,324,137,전략2,O
459,6,11,23,24,33,36,324,133,전략2,O
460,10,20,23,24,29,43,324,149,전략2,O
461,10,20,22,23,24,35,323,134,전략2,O
462,6,11,20,23,29,36,323,125,전략2,X
463,5,20,23,24,33,35,321,140,전략2,O
464,6,19,23,24,35,36,321,143,전략2,O
465,5,22,24,29,33,35,321,148,전략2,X
466,19,20,22,24,29,35,317,149,전략2,O
467,6,11,26,33,35,36,316,147,전략2,O
468,11,20,23,24,29,35,316,142,전략2,O
469,6,20,23,24,26,35,316,134,전략2,O
470,5,10,23,24,33,36,315,131,전략2,O
471,6,20,23,24,33,43,314,149,전략2,O
472,10,11,23,24,29,33,314,130,전략2,O
473,6,10,22,23,33,36,314,130,전략2,O
474,20,23,24,26,29,36,314,158,전략2,O
475,2,23,26,29,33,36,314,149,전략1,X
476,1,6,20,33,36,43,314,139,전략2,X
477,1,6,26,29,33,36,314,131,전략2,X
478,1,19,20,29,33,36,313,138,전략2,O
479,1,10,23,29,33,36,313,132,전략2,X
480,6,22,24,26,33,35,313,146,전략2,X
481,1,2,23,33,35,36,312,130,전략1,O
482,2,19,23,24,29,35,312,132,전략1,O
483,10,20,22,23,29,36,312,140,전략2,O
484,10,19,23,24,33,35,310,144,전략2,O
485,5,20,22,29,35,36,310,147,전략2,O
486,11,19,20,24,29,36,310,139,전략2,O
487,5,6,20,29,36,43,310,139,전략2,O
488,6,22,23,29,35,36,310,151,전략2,O
489,5,10,20,23,35,36,309,129,전략2,O
490,10,11,20,23,24,36,309,124,전략2,O
491,6,18,23,26,33,35,309,141,전략1,X
492,10,19,22,24,29,33,309,137,전략2,X
493,11,20,23,33,35,36,308,158,전략2,O
494,5,6,20,23,29,35,308,118,전략2,O
495,1,23,24,29,35,36,308,148,전략2,O
496,10,11,24,26,29,36,308,136,전략2,O
497,6,23,24,29,35,43,308,160,전략2,O
498,1,6,20,26,33,35,308,121,전략2,X
499,5,19,24,29,33,36,308,146,전략2,X
500,6,11,19,29,33,36,308,134,전략2,X
