순번,번호1,번호2,번호3,번호4,번호5,번호6,점수,합계,전략
56,5,10,11,24,36,37,221,123,전략1
57,2,19,24,33,36,43,220,157,전략1
58,1,10,11,33,35,37,220,127,전략1
59,6,10,18,20,23,26,220,103,전략1
60,5,17,23,29,35,40,220,149,전략4
61,6,13,19,22,24,35,219,119,전략1
62,1,4,20,23,28,29,219,105,전략4
63,4,11,19,20,29,33,218,116,전략1
64,1,10,22,29,33,42,218,137,전략1
65,5,7,22,24,33,36,218,127,전략1
66,2,5,6,24,26,33,218,96,전략1
67,6,11,20,31,36,43,218,147,전략1
68,14,22,24,29,33,43,217,165,전략1
69,10,11,24,29,38,43,217,155,전략1
70,6,11,19,33,35,40,216,144,전략1
71,1,2,10,26,29,36,216,104,전략1
72,1,24,26,33,36,37,215,157,전략1
73,5,18,20,26,35,36,215,140,전략1
74,6,22,29,36,38,43,215,174,전략1
75,5,18,23,33,36,37,215,152,전략4
76,19,22,29,35,40,42,215,187,전략4
77,6,18,19,23,30,36,215,132,전략4
78,10,19,29,33,40,43,214,174,전략1
79,5,11,17,33,35,36,214,137,전략1
80,1,6,10,13,23,29,214,82,전략1
81,20,23,29,38,41,43,214,194,전략4
82,1,2,6,13,35,43,214,100,전략4
83,2,10,13,22,23,24,214,94,전략4
84,17,22,26,29,35,36,213,165,전략1
85,18,22,23,27,33,35,213,158,전략4
86,5,23,24,28,32,36,213,148,전략4
87,1,6,11,20,24,32,212,94,전략1
88,3,23,28,29,36,43,212,162,전략4
89,5,6,13,20,33,43,211,120,전략1
90,2,5,6,19,35,36,211,103,전략1
91,1,2,10,19,20,33,210,85,전략1
92,19,20,23,31,36,40,210,169,전략4
93,19,22,23,24,33,42,210,163,전략5
94,5,20,23,31,35,43,210,157,전략5
95,4,6,19,22,23,29,210,103,전략5
96,18,19,24,26,33,35,209,155,전략1
97,1,2,23,28,33,36,209,123,전략4
98,2,5,22,24,29,42,209,124,전략4
99,19,23,24,29,32,43,209,170,전략5
100,10,11,20,23,31,33,208,128,전략1
101,5,10,19,20,28,36,208,118,전략1
102,1,6,10,16,20,43,208,96,전략1
103,4,5,20,22,23,33,208,107,전략5
104,5,6,10,17,29,43,207,110,전략1
105,5,6,10,11,13,35,206,80,전략1
106,5,6,23,27,32,33,206,126,전략4
107,6,20,23,28,32,43,206,152,전략4
108,1,13,23,24,35,42,206,138,전략4
109,5,19,20,33,35,37,205,149,전략1
110,10,11,20,22,29,37,205,129,전략1
111,6,11,22,24,29,30,205,122,전략1
112,10,19,26,35,36,37,205,163,전략1
113,5,19,29,36,41,42,205,172,전략4
114,19,23,24,27,36,37,205,166,전략4
115,2,5,10,22,35,40,205,114,전략4
116,1,5,16,20,23,24,205,89,전략5
117,2,13,24,26,29,43,204,137,전략4
118,11,23,26,32,33,35,204,160,전략5
119,2,4,5,20,29,43,203,103,전략4
120,1,18,23,29,35,37,203,143,전략4
121,11,14,23,24,29,42,203,143,전략4
122,1,6,24,36,41,43,202,151,전략1
123,6,10,13,19,36,43,202,127,전략1
124,1,19,28,29,36,37,202,150,전략4
125,18,23,26,29,36,38,202,170,전략4
126,6,11,18,26,36,37,202,134,전략4
127,6,22,24,26,27,36,201,141,전략1
128,1,2,5,16,29,33,201,86,전략4
129,5,20,22,28,29,32,201,136,전략4
130,1,5,23,35,36,41,201,141,전략5
131,1,10,13,24,33,43,200,124,전략1
132,1,10,28,35,36,43,200,153,전략1
133,17,23,31,33,36,43,200,183,전략4
134,1,14,23,24,27,33,200,122,전략4
135,11,18,20,23,24,30,200,126,전략4
136,5,10,13,20,23,40,200,111,전략4
137,6,8,22,23,26,33,200,118,전략5
138,10,11,13,19,20,24,199,97,전략1
139,7,22,23,29,33,38,199,152,전략4
140,1,6,18,26,27,33,199,111,전략4
141,3,18,19,20,23,35,199,118,전략4
142,2,10,11,24,26,32,199,105,전략4
143,11,17,19,29,36,43,199,155,전략5
144,10,11,19,33,36,42,198,151,전략1
145,1,10,20,22,36,40,198,129,전략1
146,1,3,23,29,32,33,198,121,전략4
147,5,17,20,36,41,43,198,162,전략4
148,1,18,20,23,27,36,198,125,전략4
149,4,5,10,22,29,38,198,108,전략4
150,4,22,23,24,36,38,198,147,전략4
151,2,6,23,36,40,43,198,150,전략4
152,19,20,23,27,33,43,198,165,전략5
153,6,20,24,26,38,43,197,157,전략1
154,1,20,22,28,35,37,197,143,전략4
155,1,2,20,24,28,43,197,118,전략4
156,1,6,23,31,36,37,197,134,전략4
157,6,19,23,32,35,42,197,157,전략4
158,5,10,18,33,35,43,196,144,전략1
159,11,20,23,27,29,32,196,142,전략4
160,3,11,23,29,30,35,196,131,전략4
161,1,6,18,22,35,40,196,122,전략4
162,19,22,31,33,35,43,196,183,전략5
163,1,6,22,28,32,33,195,122,전략4
164,7,20,22,23,28,36,195,136,전략4
165,5,13,20,22,35,42,195,137,전략4
166,13,18,23,35,36,43,195,168,전략4
167,7,11,15,23,24,35,195,115,전략4
168,11,26,31,33,36,40,194,177,전략4
169,2,3,5,26,29,35,194,100,전략4
170,2,5,10,17,23,36,194,93,전략4
171,5,17,22,24,32,35,194,135,전략4
172,11,23,28,29,33,37,193,161,전략4
173,1,2,6,11,31,33,193,84,전략4
174,1,14,19,20,29,41,193,124,전략4
175,20,23,26,32,36,41,193,178,전략4
176,8,22,23,27,29,36,193,145,전략4
177,4,22,28,29,35,43,193,161,전략4
178,19,24,26,28,29,42,193,168,전략4
179,7,22,24,35,38,43,193,169,전략4
180,6,22,23,24,32,40,193,147,전략4
181,3,22,23,30,33,36,192,147,전략4
182,20,22,29,31,42,43,192,187,전략4
183,4,19,20,22,35,38,192,138,전략4
184,2,7,20,22,24,26,192,101,전략4
185,6,20,22,23,30,42,192,143,전략4
186,3,5,18,22,29,36,192,113,전략4
187,7,24,26,28,36,43,192,164,전략4
188,5,10,31,36,40,43,192,165,전략4
189,19,22,26,27,29,33,192,156,전략5
190,1,5,28,31,33,35,191,133,전략4
191,1,5,14,24,28,29,191,101,전략4
192,5,10,18,26,29,40,191,128,전략4
193,5,6,17,22,36,40,191,126,전략4
194,5,10,23,27,35,37,191,137,전략4
195,1,11,16,20,26,33,191,107,전략5
196,11,22,24,32,36,43,191,168,전략5
197,6,11,17,23,35,43,191,135,전략5
198,11,27,33,36,37,43,190,187,전략4
199,14,23,33,35,42,43,190,190,전략4
200,5,10,13,22,33,37,190,120,전략4
201,13,20,23,26,27,35,190,144,전략4
202,1,17,20,35,40,43,190,156,전략4
203,14,20,23,24,26,28,190,135,전략4
204,14,26,29,36,41,43,190,189,전략4
205,1,3,4,19,29,35,190,91,전략4
206,15,23,24,26,29,40,190,157,전략4
207,1,2,11,13,24,36,190,87,전략4
208,5,6,18,28,36,43,190,136,전략4
209,11,22,24,26,33,38,190,154,전략5
210,2,6,11,18,23,29,189,89,전략4
211,2,5,10,19,29,37,189,102,전략4
212,10,18,22,23,29,30,189,132,전략4
213,5,8,22,35,36,37,189,143,전략4
214,7,11,19,24,30,36,189,127,전략4
215,3,6,7,23,26,36,189,101,전략4
216,11,13,24,26,35,40,189,149,전략4
217,10,23,24,26,30,42,189,155,전략4
218,1,10,20,23,37,41,188,132,전략4
219,3,11,26,28,35,36,188,139,전략4
220,1,10,18,23,24,32,188,108,전략4
221,4,19,20,26,36,43,188,148,전략5
222,5,10,22,26,36,41,188,140,전략5
223,5,19,27,33,36,40,187,160,전략4
224,1,22,27,31,33,36,187,150,전략4
225,6,11,13,16,20,23,187,89,전략4
226,1,6,19,20,40,42,187,128,전략4
227,8,10,20,22,23,32,187,115,전략4
228,1,29,35,41,42,43,187,191,전략4
229,3,7,19,22,35,36,187,122,전략4
230,1,5,15,24,35,40,187,120,전략4
231,1,6,15,19,35,37,187,113,전략4
232,1,5,6,18,20,37,186,87,전략4
233,3,10,19,23,32,36,186,123,전략4
234,1,5,6,16,17,35,186,80,전략4
235,1,10,13,16,22,35,186,97,전략4
236,20,22,28,33,38,43,185,184,전략4
237,18,22,26,32,33,36,185,167,전략4
238,1,19,27,32,33,35,185,147,전략4
239,1,6,14,33,37,43,185,134,전략4
240,7,19,20,22,29,30,185,127,전략4
241,3,4,20,22,26,29,185,104,전략4
242,5,10,19,24,32,42,185,132,전략4
243,5,14,17,19,29,33,184,117,전략4
244,4,26,29,33,38,43,184,173,전략4
245,18,23,24,33,38,43,184,179,전략4
246,5,11,16,20,29,41,184,122,전략4
247,5,11,29,30,36,38,184,149,전략4
248,1,8,22,29,35,38,184,133,전략4
249,5,11,18,24,29,32,184,119,전략4
250,5,10,11,28,29,42,184,125,전략4
251,1,6,7,23,24,28,184,89,전략4
252,10,18,22,24,26,37,184,137,전략4
253,5,6,7,10,23,30,184,81,전략4
254,5,17,19,24,26,36,184,127,전략5
255,20,26,31,33,37,43,183,190,전략4
256,5,29,32,33,41,43,183,183,전략4
257,1,11,20,31,35,42,183,140,전략4
258,1,5,17,29,32,36,183,120,전략4
259,5,13,19,28,29,35,183,129,전략4
260,2,5,10,24,41,43,183,125,전략4
261,19,20,26,28,32,33,182,158,전략4
262,1,2,5,20,31,36,182,95,전략4
263,1,3,20,26,32,35,182,117,전략4
264,1,14,20,22,24,42,182,123,전략4
265,15,19,35,36,40,43,182,188,전략4
266,6,11,19,28,32,36,182,132,전략4
267,1,3,11,18,24,35,182,92,전략4
268,6,13,23,24,37,43,182,146,전략4
269,3,4,11,22,33,35,181,108,전략4
270,1,10,16,23,33,40,181,123,전략4
271,18,19,20,26,29,37,181,149,전략4
272,10,13,20,22,41,43,181,149,전략4
273,1,4,22,24,29,32,181,112,전략4
274,5,10,13,24,26,28,181,106,전략4
275,10,17,22,24,40,43,181,156,전략4
276,1,11,14,33,36,41,180,136,전략4
277,4,11,20,22,24,28,180,109,전략4
278,1,6,28,29,31,43,180,138,전략4
279,1,24,31,35,37,43,180,171,전략4
280,1,7,10,22,24,30,180,94,전략4
281,6,8,10,19,22,40,180,105,전략4
282,11,18,26,29,35,43,180,162,전략5
283,4,10,19,22,32,33,179,120,전략4
284,10,14,22,23,28,33,179,130,전략4
285,11,13,20,29,40,43,179,156,전략4
286,7,10,22,36,37,43,179,155,전략4
287,1,5,14,20,32,33,178,105,전략4
288,8,22,33,36,41,43,178,183,전략4
289,1,16,33,35,38,43,178,166,전략4
290,6,7,11,22,33,37,178,116,전략4
291,5,17,20,26,29,42,178,139,전략4
292,1,5,6,29,30,40,178,111,전략4
293,16,23,24,30,35,43,178,171,전략4
294,4,15,22,24,26,35,178,126,전략4
295,8,10,11,23,24,27,178,103,전략4
296,8,10,11,26,36,43,178,134,전략5
297,8,19,26,33,36,38,177,160,전략4
298,5,26,33,35,40,42,177,181,전략4
299,13,23,24,26,31,33,177,150,전략4
300,2,11,19,20,36,41,177,129,전략4
301,5,11,20,32,36,40,177,144,전략4
302,8,11,20,22,36,38,177,135,전략4
303,10,23,26,29,32,37,177,157,전략4
304,1,16,26,35,36,40,177,154,전략4
305,17,19,24,35,42,43,177,180,전략4
306,10,13,26,35,42,43,177,169,전략4
307,1,3,7,20,22,33,176,86,전략4
308,1,3,18,19,33,36,176,110,전략4
309,11,19,24,32,33,37,176,156,전략4
310,18,19,20,22,24,32,176,135,전략4
311,1,11,16,24,29,40,176,121,전략4
312,3,10,22,29,32,43,176,139,전략4
313,11,18,22,31,35,36,176,153,전략4
314,1,22,32,35,36,42,176,168,전략4
315,5,6,13,16,26,36,176,102,전략4
316,6,8,11,22,32,35,176,114,전략4
317,6,22,26,31,35,42,176,162,전략4
318,1,10,14,19,35,42,176,121,전략4
319,1,10,15,17,23,35,176,101,전략4
320,6,13,19,26,33,42,175,139,전략4
321,1,20,26,29,31,40,175,147,전략4
322,5,7,24,26,29,30,175,121,전략4
323,5,6,11,18,30,33,174,103,전략4
324,11,15,20,22,35,40,174,143,전략4
325,2,5,10,20,26,39,174,102,전략4
326,1,6,7,19,27,36,174,96,전략4
327,2,5,11,20,28,33,173,99,전략4
328,5,14,33,36,38,43,173,169,전략4
329,1,4,10,26,28,33,173,102,전략4
330,4,6,8,20,22,43,173,103,전략4
331,3,5,6,19,29,32,173,94,전략4
332,4,10,19,26,29,30,173,118,전략4
333,1,10,29,30,37,43,173,150,전략4
334,1,3,22,24,28,36,173,114,전략4
335,2,6,11,24,42,43,173,128,전략4
336,5,16,20,22,36,39,172,138,전략4
337,5,7,18,20,24,43,172,117,전략4
338,1,10,11,14,20,28,172,84,전략4
339,5,10,20,32,38,43,172,148,전략4
340,11,13,22,29,35,41,172,151,전략4
341,5,6,11,36,39,41,172,138,전략4
342,1,6,8,22,30,36,172,103,전략4
343,5,6,32,35,40,43,172,161,전략4
344,6,19,24,31,40,43,172,163,전략4
345,6,10,23,27,31,43,172,140,전략4
346,1,10,11,19,29,32,172,102,전략5
347,5,20,26,27,33,41,171,152,전략4
348,1,11,17,20,29,30,171,108,전략4
349,15,20,26,35,41,43,171,180,전략4
350,19,20,24,37,41,43,171,184,전략4
351,6,22,35,37,41,43,171,184,전략4
352,1,11,24,28,33,42,170,139,전략4
353,6,11,19,20,30,37,170,123,전략4
354,2,10,11,17,20,43,170,103,전략4
355,1,8,10,23,36,38,170,116,전략4
356,10,17,18,19,22,35,170,121,전략4
357,1,10,16,19,24,37,170,107,전략4
358,3,5,11,29,33,40,169,121,전략4
359,4,5,6,19,28,33,169,95,전략4
360,1,15,18,20,24,26,169,104,전략4
361,10,11,20,26,40,42,169,149,전략4
362,4,5,11,29,35,37,169,121,전략4
363,15,19,26,29,32,35,169,156,전략4
364,1,3,7,24,29,43,169,107,전략4
365,1,6,16,22,24,38,169,107,전략4
366,1,6,10,22,27,37,169,103,전략4
367,6,11,15,19,24,26,169,101,전략5
368,11,14,20,22,27,33,168,127,전략4
369,6,11,32,33,38,43,168,163,전략4
370,20,22,26,30,36,37,168,171,전략4
371,16,19,20,26,35,42,168,158,전략4
372,5,11,20,24,39,42,168,141,전략4
373,1,7,14,22,29,36,168,109,전략4
374,10,11,22,27,28,36,168,134,전략4
375,5,11,24,28,35,38,168,141,전략4
376,5,6,7,11,24,40,168,93,전략4
377,1,11,27,29,33,38,167,139,전략4
378,5,11,13,14,24,33,167,100,전략4
379,5,10,17,26,32,33,167,123,전략4
380,11,17,19,20,32,35,167,134,전략4
381,15,20,22,24,30,43,167,154,전략4
382,6,11,19,29,38,42,167,145,전략4
383,4,11,35,36,38,43,167,167,전략4
384,6,11,13,22,36,42,167,130,전략4
385,1,5,6,13,24,39,167,88,전략4
386,6,10,11,23,41,42,167,133,전략4
387,1,5,17,18,24,33,166,98,전략4
388,7,10,23,32,33,43,166,148,전략4
389,8,11,19,27,35,36,166,136,전략4
390,10,11,16,18,23,35,166,113,전략4
391,3,4,10,23,26,35,166,101,전략4
392,2,6,10,19,26,28,166,91,전략4
393,6,10,13,22,26,32,166,109,전략4
394,8,11,29,31,33,43,165,155,전략4
395,1,7,11,15,20,36,165,90,전략4
396,5,8,20,24,26,32,165,115,전략4
397,5,6,16,19,20,31,165,97,전략4
398,4,5,6,20,26,40,165,101,전략4
399,10,19,20,22,27,31,165,129,전략4
400,1,5,24,27,36,38,165,131,전략4
401,8,10,15,22,35,43,165,133,전략4
402,10,18,19,24,30,43,165,144,전략4
403,10,11,18,22,33,40,164,134,전략4
404,3,4,6,11,29,43,164,96,전략4
405,6,7,18,22,26,29,164,108,전략4
406,5,6,26,35,37,39,164,148,전략4
407,3,6,18,22,24,43,164,116,전략4
408,1,10,11,15,24,39,164,100,전략4
409,7,10,19,24,26,27,164,113,전략4
410,1,6,16,26,29,32,163,110,전략4
411,1,6,10,11,17,40,163,85,전략4
412,5,6,10,18,19,27,163,85,전략4
413,6,17,18,19,33,43,162,136,전략4
414,3,5,7,11,20,35,162,81,전략4
415,8,22,24,26,29,41,162,150,전략4
416,1,17,24,26,29,38,162,135,전략4
417,1,10,11,18,30,36,162,106,전략4
418,3,5,19,24,30,35,162,116,전략4
419,5,14,24,26,35,41,162,145,전략4
420,10,11,26,27,31,35,162,140,전략4
421,5,10,15,19,35,39,162,123,전략4
422,6,10,11,28,37,43,162,135,전략4
423,6,11,18,20,22,41,161,118,전략4
424,5,6,14,26,27,29,161,107,전략4
425,6,16,17,23,24,26,161,112,전략4
426,6,8,19,20,26,27,160,106,전략4
427,4,6,17,19,26,35,160,107,전략4
428,1,4,10,19,31,36,159,101,전략4
429,10,15,24,26,31,43,159,149,전략4
430,5,24,33,39,40,43,158,184,전략4
431,5,7,10,11,27,33,158,93,전략4
432,10,14,19,26,31,33,157,133,전략4
433,5,6,11,17,20,27,157,86,전략4
434,3,7,10,19,20,43,157,102,전략4
435,6,26,29,39,42,43,157,185,전략4
436,3,24,26,27,33,43,156,156,전략4
437,1,10,13,17,20,26,156,87,전략4
438,10,14,16,22,26,29,156,117,전략4
439,3,10,11,35,40,43,156,142,전략4
440,5,6,14,24,30,43,156,122,전략4
441,6,10,26,30,40,43,156,155,전략4
442,5,10,16,19,33,41,155,124,전략4
443,6,15,16,20,22,26,155,105,전략4
444,4,5,10,11,20,30,155,80,전략4
445,10,19,32,35,41,43,155,180,전략4
446,4,10,11,19,28,35,153,107,전략4
447,5,15,19,24,31,33,152,127,전략4
448,5,6,8,19,24,37,152,99,전략4
449,4,6,10,11,22,31,152,84,전략4
450,19,20,24,26,30,39,151,158,전략4
451,1,6,10,19,30,38,151,104,전략4
452,10,26,33,39,41,43,150,192,전략4
453,10,19,20,26,38,41,150,154,전략4
454,5,8,10,16,26,35,150,100,전략4
455,5,6,10,26,38,42,150,127,전략4
456,10,11,14,16,33,43,146,127,전략4
457,1,20,23,29,33,35,296,141,전략2
458,6,20,22,23,33,35,291,139,전략2
459,1,6,23,33,35,36,291,134,전략2
460,6,19,23,29,33,35,288,145,전략2
461,5,23,29,33,35,36,285,161,전략2
462,19,20,23,29,33,36,284,160,전략2
463,5,6,20,23,29,33,284,116,전략2
464,19,20,23,24,29,35,282,150,전략2
465,6,20,23,29,35,43,281,156,전략2
466,5,20,23,24,29,36,280,137,전략2
467,6,23,26,29,33,36,279,153,전략2
468,1,6,20,23,24,35,279,109,전략2
469,1,6,22,29,33,35,276,126,전략2
470,10,22,23,29,33,35,276,152,전략2
471,11,23,24,29,33,35,275,155,전략2
472,5,10,20,23,29,35,275,122,전략2
473,6,20,23,33,36,43,274,161,전략2
474,5,6,23,24,33,35,274,126,전략2
475,1,6,20,23,29,36,274,115,전략2
476,1,6,20,26,33,35,273,121,전략2
477,10,19,23,24,29,36,273,141,전략2
478,20,22,23,24,29,33,272,151,전략2
479,20,22,23,29,35,36,272,165,전략2
480,5,6,20,23,35,36,272,125,전략2
481,2,22,23,24,33,35,271,139,전략1
482,1,6,23,24,29,33,271,116,전략2
483,6,22,23,24,29,35,271,139,전략2
484,19,20,22,29,33,35,269,158,전략2
485,20,23,26,33,35,36,269,173,전략2
486,19,23,24,33,35,36,269,170,전략2
487,6,22,23,24,33,36,269,144,전략2
488,10,20,23,24,29,43,269,149,전략2
489,10,20,22,23,24,35,268,134,전략2
490,1,23,24,29,35,36,268,148,전략2
491,2,23,26,29,33,35,267,148,전략1
492,1,6,10,20,23,33,267,93,전략2
493,1,6,20,29,33,43,266,132,전략2
494,5,22,24,29,33,35,266,148,전략2
495,6,11,23,24,35,36,266,135,전략2
496,5,6,10,23,33,36,265,113,전략2
497,20,23,24,33,35,43,264,178,전략2
498,1,20,22,24,33,35,264,135,전략2
499,1,10,23,24,33,35,264,126,전략2
500,6,11,20,23,24,29,264,113,전략2
