회차,추첨일,번호1,번호2,번호3,번호4,번호5,번호6,보너스
1981,2025/03/13,5,10,15,17,29,41,30
1982,2025/03/17,20,21,23,28,32,34,6
1983,2025/03/20,3,18,31,36,37,40,23
1984,2025/03/24,4,19,28,29,34,40,3
1985,2025/03/27,1,30,36,37,41,43,33
1986,2025/03/31,14,20,29,31,41,42,24
1987,2025/04/03,8,12,25,28,32,42,27
1988,2025/04/07,6,20,23,24,33,35,27
1989,2025/04/10,15,17,23,29,35,43,8
1990,2025/04/14,6,9,15,19,24,40,30
1991,2025/04/17,1,5,12,16,17,40,4
1992,2025/04/21,9,11,18,21,27,34,13
1993,2025/04/24,7,12,13,35,37,42,31
1994,2025/04/28,10,11,13,16,24,26,12
1995,2025/05/01,2,4,8,26,27,37,19
1996,2025/05/05,6,17,26,28,33,34,20
1997,2025/05/08,5,16,17,28,36,40,14
1998,2025/05/12,1,4,6,9,20,43,21
1999,2025/05/15,17,31,34,35,36,38,2
2000,2025/05/19,1,2,16,21,25,35,22
2001,2025/05/22,13,21,24,26,34,36,20
2002,2025/05/26,1,17,19,23,36,42,15
2003,2025/05/29,1,5,10,13,35,40,39
2004,2025/06/02,16,18,25,27,31,36,7
2005,2025/06/05,3,7,18,27,33,34,6
2006,2025/06/09,4,7,19,22,26,28,33
2007,2025/06/12,6,18,23,24,30,35,38
2008,2025/06/16,5,8,9,17,22,36,30
2009,2025/06/19,8,17,20,35,36,40,12
2010,2025/06/23,9,15,24,29,31,40,13
2011,2025/06/26,12,14,18,24,30,42,4
2012,2025/06/30,1,14,20,36,38,41,30
2013,2025/07/03,7,12,30,31,39,43,42
2014,2025/07/07,7,11,21,24,29,34,40
2015,2025/07/10,6,8,13,16,20,23,26
2016,2025/07/14,10,13,27,31,40,42,1
2017,2025/07/17,2,4,11,22,24,35,8
2018,2025/07/21,1,2,14,21,22,33,37
2019,2025/07/24,7,13,14,21,39,42,9
2020,2025/07/28,5,21,23,28,38,39,32
2021,2025/07/31,2,17,22,29,30,43,31
2022,2025/08/04,2,3,18,26,31,33,30
2023,2025/08/07,1,20,28,29,31,43,5
2024,2025/08/11,10,13,16,29,34,42,21
2025,2025/08/14,12,18,26,28,41,43,35
2026,2025/08/18,2,5,8,11,20,26,28
2027,2025/08/21,5,12,18,23,34,39,13
2028,2025/08/25,6,10,12,19,21,42,16
2029,2025/08/28,7,21,31,36,40,43,41
2030,2025/09/01,3,7,28,29,32,36,13
2031,2025/09/04,2,3,16,20,23,29,27
2032,2025/09/08,8,15,27,33,37,39,31
2033,2025/09/11,5,16,21,22,33,35,26
2034,2025/09/15,2,13,22,25,35,37,17
2035,2025/09/18,5,10,12,17,21,35,9
2036,2025/09/22,7,10,17,26,35,42,33
2037,2025/09/25,7,12,20,23,27,29,10
2038,2025/09/29,5,31,37,39,41,42,33
2039,2025/10/02,2,15,25,27,38,42,22
2040,2025/10/06,7,12,14,15,24,30,32
2041,2025/10/09,4,19,22,24,32,38,11
2042,2025/10/13,9,14,29,38,41,43,12
2043,2025/10/16,11,19,22,34,40,42,31
2044,2025/10/20,1,6,11,26,33,40,14
2045,2025/10/23,1,4,7,12,16,28,19
2046,2025/10/27,2,5,10,22,25,38,14
2047,2025/10/30,10,11,16,19,37,39,27
2048,2025/11/03,8,13,18,32,37,43,27
2049,2025/11/06,10,24,25,39,40,42,19
2050,2025/11/10,6,11,15,21,25,32,5
2051,2025/11/13,3,15,27,28,31,39,20
2052,2025/11/17,1,3,18,25,30,34,10
2053,2025/11/20,20,28,31,35,37,41,13
2054,2025/11/24,1,14,27,30,33,37,23
2055,2025/11/27,11,12,14,17,21,26,2
2056,2025/12/01,3,7,15,17,19,30,38
2057,2025/12/04,5,7,21,22,38,41,24
2058,2025/12/08,9,12,14,16,19,42,18
2059,2025/12/11,2,13,26,28,38,43,3
2060,2025/12/15,8,16,22,40,41,42,10
2061,2025/12/18,5,6,13,21,33,34,40
2062,2025/12/22,1,9,18,24,35,42,8
2063,2025/12/25,4,28,29,30,38,42,15
2064,2025/12/29,2,7,24,37,39,41,3
2065,2026/01/05,6,18,21,31,37,40,3
2066,2026/01/08,8,28,30,32,37,38,5
2067,2026/01/12,3,4,12,15,32,42,31
2068,2026/01/15,2,10,13,14,29,33,32
2069,2026/01/19,6,17,23,27,33,35,4
2070,2026/01/22,6,10,25,30,34,36,12
2071,2026/01/26,15,24,29,32,33,35,14
2072,2026/01/29,8,18,24,36,40,42,43
